4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4
5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,0,6
5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11,0,6
5,1,1,1,1,1,1,0,0,0,0,7,1,1,1,0,0,0,9,0,0,0,0,0,6
5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6
5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,6
5,0,0,4,4,4,4,4,0,0,0,11,11,11,0,0,0,0,0,0,0,0,0,0,6
5,0,0,0,0,0,0,0,0,0,0,11,12,11,0,0,0,0,0,0,0,0,0,0,6
5,0,0,0,0,0,0,0,0,1,1,11,11,11,0,0,1,1,1,1,1,1,1,1,6
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6
5,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,6
5,4,4,4,4,4,4,0,0,0,0,1,1,1,1,1,8,0,0,0,0,0,0,0,6
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6
5,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,4,4,4,4,4,6
5,0,0,0,0,0,0,0,1,1,1,1,1,1,8,0,0,0,0,0,0,0,0,0,6
5,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6
5,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4

